flag; num; time_ms; gps_time_s; gps_time_us; crc
8;539;380171;51491;0;38659
8;540;380763;51492;0;27326
8;541;381468;51492;0;47721
8;542;382039;51493;0;17050
8;543;382723;51494;0;28336
8;544;383310;51494;0;13782
8;545;383996;51495;0;23660
8;546;384585;51495;0;42289
8;547;385239;51496;0;9928
8;548;385832;51497;0;21525
8;549;386512;51497;0;60217
8;550;387103;51498;0;57709
8;551;387784;51499;0;13718
8;552;388354;51499;0;60901
8;553;389065;51500;0;39161
8;554;389681;51500;0;24158
8;555;390358;51501;0;33298
8;556;390937;51502;0;9881
8;557;391621;51502;0;22607
8;558;392224;51503;0;3281
8;559;392931;51504;0;16651
8;560;393532;51504;0;18183
8;561;394187;51505;0;64860
8;562;394788;51506;0;15142
8;563;395472;51506;0;12536
8;564;396076;51507;0;18362
8;565;396746;51507;0;57168
8;566;397315;51508;0;33898
8;567;398010;51509;0;62439
8;568;398610;51509;0;40606
8;569;399306;51510;0;54816
8;570;399906;51511;0;13625
8;571;400569;51511;0;15466
8;572;401159;51512;0;3731
8;573;401845;51513;0;27559
8;574;402450;51513;0;41792
8;575;403120;51514;0;29196
8;576;403723;51514;0;65459
8;577;404406;51515;0;34282
8;578;404994;51516;0;47322
8;579;405663;51516;0;19716
8;580;406260;51517;0;30645
8;581;406936;51518;0;18560
8;582;407526;51518;0;61878
8;583;408208;51519;0;26890
8;584;408792;51519;0;50555
8;585;409501;51520;0;31951
8;586;410103;51521;0;61685
8;587;410789;51522;0;9749
8;588;411382;51522;0;6447
8;589;412036;51523;0;11508
8;590;412624;51523;0;58912
8;591;413331;51524;0;2952
8;592;413935;51525;0;34122
8;593;414619;51525;0;4021
8;594;415184;51526;0;30944
8;595;415889;51527;0;45543
8;596;416480;51527;0;59031
8;597;417172;51528;0;58605
8;598;417741;51528;0;15152
8;599;418415;51529;0;4526
8;600;419021;51530;0;29097
8;601;419703;51531;0;56306
8;602;420294;51531;0;62735
8;603;420948;51532;0;23395
8;604;421535;51532;0;57856
8;605;422222;51533;0;17272
8;606;422825;51534;0;46871
8;607;423511;51534;0;31743
8;608;424080;51535;0;53417
8;609;424767;51535;0;1232
8;610;425370;51536;0;22097
8;611;426064;51537;0;6648
8;612;426632;51537;0;37460
8;613;427304;51538;0;52476
8;614;427904;51539;0;31126
8;615;428598;51539;0;53528
8;616;429201;51540;0;45267
8;617;429857;51541;0;1994
8;618;430446;51541;0;17037
8;619;431130;51542;0;61939
8;620;431724;51542;0;44744
8;621;432410;51543;0;38599
8;622;432987;51544;0;48160
8;623;433673;51544;0;41653
8;624;434276;51545;0;45608
8;625;434971;51546;0;61077
8;626;435532;51546;0;28825
8;627;436204;51547;0;10393
8;628;436810;51548;0;31544
8;629;437509;51548;0;59207
8;630;438112;51549;0;12485
8;631;438777;51550;0;186
8;632;439379;51550;0;52122
8;633;440056;51551;0;36269
8;634;440668;51551;0;17128
8;635;441344;51552;0;54261
8;636;441921;51553;0;39590
8;637;442606;51553;0;57037
8;638;443194;51554;0;44676
8;639;443893;51555;0;1984
8;640;444459;51555;0;49395
8;641;445132;51556;0;52531
8;642;445734;51556;0;27950
8;643;446430;51557;0;50326
8;644;447031;51558;0;964
8;645;447686;51558;0;42037
8;646;448281;51559;0;17901
8;647;448976;51560;0;56072
8;648;449584;51560;0;53290
8;649;450266;51561;0;18472
8;650;450831;51562;0;14234
8;651;451517;51562;0;6643
8;652;452117;51563;0;30849
8;653;452805;51563;0;4139
8;654;453372;51564;0;47886
8;655;454043;51565;0;5546
8;656;454643;51565;0;16587
8;657;455439;51566;0;27974
8;658;456137;51567;0;10781
8;659;456722;51568;0;49164
8;660;457405;51568;0;51035
8;661;457991;51569;0;15431
8;662;458675;51569;0;61394
8;663;459279;51570;0;53014
8;664;459948;51571;0;9154
8;665;460538;51571;0;6462
8;666;461221;51572;0;8517
8;667;461820;51572;0;2138
8;668;462489;51573;0;3008
8;669;463057;51574;0;30843
8;670;463738;51574;0;22292
8;671;464329;51575;0;27804
8;672;465012;51576;0;47315
8;673;465581;51576;0;15213
8;674;466280;51577;0;41440
8;675;466895;51578;0;32269
8;676;467577;51578;0;8867
8;677;468170;51579;0;6443
8;678;468822;51580;0;41191
8;679;469408;51580;0;44499
8;680;470103;51581;0;56889
8;681;470697;51581;0;15212
8;682;471379;51582;0;37863
8;683;471947;51583;0;21759
8;684;472633;51583;0;22604
8;685;473236;51584;0;13584
8;686;473919;51585;0;23980
8;687;474488;51585;0;562
8;688;475160;51586;0;46127
8;689;475749;51586;0;65092
8;690;476435;51587;0;37383
8;691;477024;51588;0;4066
8;692;477681;51588;0;45594
8;693;478271;51589;0;24785
8;694;478966;51590;0;60040
8;695;479568;51590;0;32984
8;696;480251;51591;0;9955
8;697;480818;51592;0;25202
8;698;481504;51592;0;64240
8;699;482120;51593;0;24849
8;700;482807;51594;0;51236
8;701;483380;51594;0;5628
8;702;484050;51595;0;27968
8;703;484636;51595;0;22763
8;704;485330;51596;0;46045
8;705;485933;51597;0;39197
8;706;486597;51597;0;59299
8;707;487185;51598;0;24872
8;708;487868;51599;0;33202
8;709;488469;51599;0;44801
8;710;489157;51600;0;9942
8;711;489739;51600;0;45555
8;712;490436;51601;0;43516
8;713;491028;51602;0;54103
8;714;491711;51602;0;58752
8;715;492309;51603;0;30859
8;716;492984;51604;0;61289
8;717;493572;51604;0;23205
8;718;494269;51605;0;56298
8;719;494874;51606;0;36105
8;720;495543;51606;0;41256
8;721;496143;51607;0;3038
8;722;496839;51608;0;49666
8;723;497440;51608;0;53395
8;724;498116;51609;0;41129
8;725;498685;51609;0;14934
8;726;499381;51610;0;12390
8;727;500397;51611;0;11426
8;728;500988;51612;0;26694
8;729;501674;51612;0;35571
8;730;502253;51613;0;50930
8;731;502923;51614;0;17462
8;732;503512;51614;0;31500
8;733;504216;51615;0;17648
8;734;504810;51616;0;29860
8;735;505478;51616;0;9047
8;736;506079;51617;0;1382
8;737;506783;51617;0;56253
8;738;507370;51618;0;58766
8;739;508053;51619;0;56957
8;740;508635;51619;0;49950
8;741;509312;51620;0;41725
8;742;509899;51621;0;2889
8;743;510582;51621;0;48624
8;744;511162;51622;0;32385
8;745;511832;51623;0;9570
8;746;512446;51623;0;48377
8;747;513144;51624;0;60299
8;748;513733;51624;0;56678
8;749;514387;51625;0;64552
8;750;514998;51626;0;3757
8;751;515709;51626;0;38164
8;752;516327;51627;0;41939
8;753;517001;51628;0;50214
8;754;517567;51628;0;60095
8;755;518251;51629;0;45288
8;756;518842;51630;0;60396
8;757;519527;51630;0;60552
8;758;520095;51631;0;46066
8;759;520775;51632;0;2369
8;760;521360;51632;0;11042
8;761;522046;51633;0;48125
8;762;522637;51633;0;37866
8;763;523294;51634;0;12702
8;764;523910;51635;0;8353
8;765;524614;51635;0;50075
8;766;525200;51636;0;25116
8;767;525870;51637;0;13415
8;768;526437;51637;0;23965
8;769;527134;51638;0;3316
8;770;527734;51638;0;55531
8;771;528433;51639;0;20463
8;772;529001;51640;0;46880
8;773;529682;51640;0;32635
8;774;530274;51641;0;37128
8;775;530965;51642;0;34151
8;776;531558;51642;0;28369
8;777;532209;51643;0;26474
8;778;532799;51643;0;63946
8;779;533500;51644;0;38782
8;780;534088;51645;0;55072
8;781;534759;51645;0;10457
8;782;535324;51646;0;9683
8;783;536032;51647;0;53496
8;784;536622;51647;0;38056
8;785;537307;51648;0;1540
8;786;537872;51649;0;35871
8;787;538540;51649;0;45792
8;788;539143;51650;0;64293
8;789;539841;51651;0;19132
8;790;540435;51651;0;63934
8;791;541091;51652;0;24190
8;792;541682;51652;0;36037
8;793;542378;51653;0;51393
8;794;542979;51654;0;56056
8;795;543639;51654;0;37135
8;796;544205;51655;0;41084
8;797;545373;51656;0;16672
8;798;546069;51657;0;25605
8;799;546673;51657;0;483
8;800;547340;51658;0;46074
8;801;547940;51659;0;55028
8;802;548640;51659;0;62265
8;803;549229;51660;0;11060
8;804;549900;51661;0;9594
8;805;550466;51661;0;13182
8;806;551151;51662;0;62682
8;807;551755;51662;0;16020
8;808;552452;51663;0;42375
8;809;553034;51664;0;61697
8;810;553717;51664;0;15523
8;811;554321;51665;0;57465
8;812;555001;51666;0;10000
8;813;555603;51666;0;44722
8;814;556260;51667;0;28204
8;815;556851;51668;0;57941
8;816;557534;51668;0;53957
8;817;558137;51669;0;30323
8;818;558823;51670;0;49969
8;819;559391;51670;0;1754
8;820;560100;51671;0;41370
