flag; num; time_ms; bmp_temp; bmp_press; fhotores; status; crc
32;434;77491;2820;99462;1812;18433;1725
32;435;77594;2820;99462;1827;18433;52357
32;436;77625;2820;99462;1818;18433;27624
32;437;77727;2821;99462;1866;18433;6244
32;438;77738;2821;99462;1882;18433;13938
32;439;77969;2821;99460;1927;18433;27235
32;440;77997;2821;99460;1936;18433;5125
32;441;78100;2821;99459;1956;18433;17422
32;442;78130;2821;99458;1966;18433;5523
32;443;78233;2822;99458;1983;18433;52498
32;444;78264;2822;99458;1993;18433;9935
32;445;78367;2822;99458;2020;18433;62769
32;446;78378;2822;99457;2017;18433;46256
32;447;78480;2822;99457;2038;18433;18417
32;448;78616;2822;99457;2024;18433;38742
32;449;78731;2822;99457;2237;18433;50711
32;450;78759;2822;99457;2233;18433;28586
32;451;78862;2822;99456;2295;18433;56360
32;452;78893;2822;99456;2295;18433;42203
32;453;78996;2822;99456;2341;18433;58088
32;454;79007;2822;99456;2341;18433;27757
32;455;79113;2823;99456;2354;18433;15883
32;456;79124;2823;99456;2354;18433;60489
32;457;79342;2823;99456;2367;18433;18363
32;458;79353;2823;99456;2372;18433;17773
32;459;79456;2823;99456;2412;18433;37346
32;460;79499;2823;99456;2407;18433;24740
32;461;79602;2823;99456;2328;18433;48790
32;462;79613;2823;99456;2350;18433;50886
32;463;79716;2824;99456;2328;18433;30659
32;464;79727;2824;99456;2262;18433;28117
32;465;79830;2824;99456;2209;18433;19173
32;466;79965;2824;99456;4949;18433;46178
32;467;80072;2824;99456;2523;18433;61643
32;468;80103;2824;99455;2407;18433;46170
32;469;80205;2824;99455;2266;18433;29026
32;470;80236;2824;99455;2221;18433;27865
32;471;80348;2824;99455;2241;18433;56923
32;472;80376;2824;99455;2221;18433;53707
32;473;80479;2824;99454;2233;18433;39544
32;474;80490;2824;99454;2217;18433;46190
32;475;80710;2825;99455;2182;18433;6430
32;476;80721;2825;99455;2178;18433;3457
32;477;80826;2825;99454;2266;18433;38216
32;478;80837;2825;99455;2311;18433;30601
32;479;80941;2825;99454;3334;18433;62055
32;480;80974;2825;99454;3192;18433;687
32;481;81077;2825;99454;3014;18433;15777
32;482;81088;2825;99454;2989;18433;25698
32;483;81201;2826;99454;2983;18433;3289
32;484;81346;2826;99454;2783;18433;16026
32;485;81451;2826;99454;2755;18433;31882
32;486;81462;2826;99454;2749;18433;57264
32;487;81565;2826;99454;2680;18433;54284
32;488;81576;2826;99454;2706;18433;40107
32;489;81679;2826;99454;2633;18433;32071
32;490;81710;2826;99454;2607;18433;3567
32;491;81814;2826;99454;2674;18433;3675
32;492;81845;2826;99454;2669;18433;47585
32;493;82075;2826;99453;2664;18433;47208
32;494;82086;2827;99453;2648;18433;9502
32;495;82189;2827;99453;2612;18433;29376
32;496;82200;2827;99453;2607;18433;27995
32;497;82303;2827;99453;2592;18433;55271
32;498;82314;2827;99453;2592;18433;40599
32;499;82417;2827;99453;2548;18433;7006
32;500;82428;2827;99453;2553;18433;10216
32;501;82535;2827;99454;2500;18433;27186
32;502;82671;2827;99454;2430;18433;42768
32;503;82785;2828;99454;2359;18433;31796
32;504;82812;2828;99454;2346;18433;35927
32;505;82917;2828;99453;2290;18433;63349
32;506;82928;2828;99453;2290;18433;24331
32;507;83031;2828;99454;2270;18433;14233
32;508;83042;2828;99454;2274;18433;57633
32;509;83159;2828;99453;2262;18433;60906
32;510;83170;2828;99453;2270;18433;23960
32;511;83390;2829;99453;2376;18433;61994
32;512;83401;2829;99453;2381;18433;13718
32;513;83504;2829;99453;2359;18433;53050
32;514;83515;2829;99453;2359;18433;16831
32;515;83627;2829;99452;2372;18433;58984
32;516;83657;2829;99452;2381;18433;15666
32;517;83765;2829;99452;2367;18433;20063
32;518;83776;2829;99452;2367;18433;20561
32;519;83879;2830;99452;2376;18433;52202
32;520;84027;2830;99451;2394;18433;50482
32;521;84130;2830;99452;2439;18433;14856
32;522;84141;2830;99452;2453;18433;49127
32;523;84244;2830;99452;2467;18433;50588
32;524;84255;2830;99452;2476;18433;7973
32;525;84362;2830;99451;2485;18433;36740
32;526;84382;2830;99451;2500;18433;26714
32;527;84485;2831;99451;2617;18433;26692
32;528;84496;2831;99451;2633;18433;12306
32;529;84716;2831;99451;2995;18433;27095
32;530;84749;2831;99451;3071;18433;32568
32;531;84853;2831;99451;3137;18433;39659
32;532;84864;2831;99451;3157;18433;33311
32;533;84969;2831;99450;3157;18433;19346
32;534;84980;2831;99450;3164;18433;64496
32;535;85083;2831;99450;3192;18433;13759
32;536;85094;2831;99450;3262;18433;60943
32;537;85207;2832;99451;3551;18433;44206
32;538;85350;2832;99451;3986;18433;20445
32;539;85453;2832;99451;4200;18433;54068
32;540;85464;2832;99451;4158;18433;43322
32;541;85572;2832;99451;4514;18433;63329
32;542;85604;2832;99451;4598;18433;15657
32;543;85707;2832;99451;4610;18433;51261
32;544;85718;2832;99451;4610;18433;32609
32;545;85820;2832;99451;4330;18433;456
32;546;85831;2832;99451;4242;18433;14460
32;547;86059;2833;99451;1809;18433;2130
32;548;86087;2833;99451;1830;18433;48567
32;549;86192;2833;99452;2766;18433;50700
32;550;86203;2833;99452;2690;18433;26919
32;551;86309;2833;99452;1873;18433;33899
32;552;86320;2833;99452;1833;18433;31476
32;553;86422;2833;99452;1818;18433;42035
32;554;86433;2833;99452;1812;18433;50458
32;555;86540;2833;99452;1839;18433;14195
32;556;86676;2833;99453;1824;18433;46643
32;557;86778;2833;99452;1851;18433;2560
32;558;86789;2833;99452;1860;18433;36129
32;559;86902;2833;99452;1904;18433;15929
32;560;86930;2834;99452;1923;18433;52700
32;561;87034;2834;99452;1996;18433;33425
32;562;87045;2834;99452;2013;18433;29011
32;563;87148;2834;99452;2052;18433;34888
32;564;87159;2834;99452;2052;18433;16616
32;565;87380;2834;99452;2125;18433;8232
32;566;87411;2834;99453;2125;18433;25215
32;567;87517;2834;99453;2136;18433;18180
32;568;87528;2834;99453;2140;18433;10515
32;569;87631;2834;99453;2144;18433;38910
32;570;87642;2834;99453;2132;18433;55704
32;571;87756;2834;99452;2128;18433;26224
32;572;87784;2834;99452;2106;18433;24572
32;573;87887;2834;99452;2099;18433;64379
